customernumber,customername,year,month,beginfootprint,deltaptcount,trainset,GamesPlayed,ActualWin,TheoWin,MachineDays,AdjGamesPlayed,AdjActualWin,AdjTheoWin,AdjMachineDays,PriorUtil,PriorWPUPD,PriorTheoWPUPD,PostUtil,PostWPUPD,PostTheoWPUPD,PriorAdjUtil,PriorAdjWPUPD,PriorAdjTheoWPUPD,PostAdjUtil,PostAdjWPUPD,PostAdjTheoWPUPD
CONF002,Gray Wolf Peaks Casino,2015,4,10,0,CTRL,669190,61437.4,31036.5547509,308,775187.958783,54854.9380455,27711.2685108,0,0.131247941584,162.75924337,105.355957187,0.151918453541,68.0807797271,118.696808493,0.125968127868,135.398061788,82.9700468526,0.202804643742,56.5280428097,109.310531092
CONF002,Gray Wolf Peaks Casino,2015,5,10,0,CTRL,754508,21969.65,44253.0250172,329,759531.223024,17490.9863993,35231.7428227,0,0.141884417129,171.650436162,109.667040848,0.146291868137,64.1932819583,120.005638475,0.13888299262,141.361284447,85.6959250264,0.123680390195,34.3380447762,97.561331358
CONF002,Gray Wolf Peaks Casino,2015,6,10,2,TRMT,820806,-13556.17,46493.3457459,389,1157303.23295,-14348.1525221,49209.5935671,0,0.150505779712,171.137974684,119.525105707,0.138438033276,99.2980887372,111.893320194,0.15930953779,145.325110061,99.7874783824,0.193809229038,77.2935528172,99.9148142067
CONF002,Gray Wolf Peaks Casino,2015,7,12,0,TRAIN,748269,62391.71,41619.8484747,385,574603.613694,34732.0295109,23168.812098,0,0.150355166052,109.867439114,122.492855207,0.1305071442,159.650905245,104.184074459,0.184284158973,99.9726396678,114.744034659,0.154656149206,139.500279235,90.6624521217
CONF002,Gray Wolf Peaks Casino,2015,8,12,0,CTRL,767316,67541.82,43025.7770469,398,1070069.28748,70204.166913,44721.7565852,0,0.147293733759,93.7226009922,115.80636002,0.130801905495,137.074122586,105.101321856,0.160771814141,65.7192072528,95.9046187092,0.124201307206,126.583762075,90.966425105
CONF002,Gray Wolf Peaks Casino,2015,9,12,0,CTRL,705751,58773.84,38499.9504895,399,985882.965232,59953.1336319,39272.4497246,0,0.143001841365,92.1698934044,116.850097458,0.127869023857,99.5580153978,102.658899464,0.164774750035,72.0046837449,101.486945418,0.185284649419,86.7797226305,87.1496044362
CONF002,Gray Wolf Peaks Casino,2015,10,12,0,CTRL,770238,36939.62,43649.9467935,394,553173.196254,20603.9600861,24346.8059903,0,0.134474768371,111.49026098,107.981490616,0.132149275362,97.2281130435,104.457453785,0.167438428255,95.8250652665,99.536990436,0.113517955292,70.1334001002,78.7012275681
CONF002,Gray Wolf Peaks Casino,2015,11,12,0,CTRL,676507,20669.86,37858.3561904,376,997462.439934,20888.4020371,38258.631871,0,0.131819920333,143.177024112,105.834722592,0.138417737884,99.8036613475,105.201279276,0.140286989859,117.698788161,83.4453200495,0.157763975994,78.3393916733,86.7423185183
CONF002,Gray Wolf Peaks Casino,2015,12,12,0,CTRL,741647,54202.85,38617.7688686,380,693811.33141,39161.0479921,27900.973842,0,0.129396759555,117.374052329,104.042138175,0.1536125,149.363345455,115.878270795,0.159832477527,109.54030802,93.5543357825,0.174491664917,120.024087677,91.990167243
CONF002,Gray Wolf Peaks Casino,2016,1,12,0,CTRL,830193,37705.82,42190.917964,372,826648.673629,28317.3837783,31685.7295756,0,0.129749614447,110.126642995,102.405437277,0.160616542023,82.2696245421,121.843172804,0.144821476796,90.7724620705,83.782350825,0.17531951824,70.8561267249,98.06690165
